,city,state_id,county_name,lat,lng,population,Koppen,state_area,cities_allocation,county_area,cities_allocation_by_county,is_eastern
43,Juneau,AK,Juneau,58.4546,-134.1739,31974.0,Dfc,100000.0,309.0,3255.01,5.0,False
44,Kalifornsky,AK,Kenai Peninsula,60.4417,-151.1972,8581.0,Dsc,100000.0,309.0,24754.6,5.0,False
45,Kenai,AK,Kenai Peninsula,60.5619,-151.1985,7807.0,Dsc,100000.0,309.0,24754.6,5.0,False
46,Soldotna,AK,Kenai Peninsula,60.4862,-151.0672,7398.0,Dsc,100000.0,309.0,24754.6,5.0,False
47,Homer,AK,Kenai Peninsula,59.653,-151.5255,5922.0,Dsc,100000.0,309.0,24754.6,5.0,False
48,Sterling,AK,Kenai Peninsula,60.5405,-150.8089,5169.0,Dsc,100000.0,309.0,24754.6,5.0,False
49,Ketchikan,AK,Ketchikan Gateway,55.3556,-131.6698,10652.0,Cfb,100000.0,309.0,1753.98,5.0,False
50,Saxman,AK,Ketchikan Gateway,55.3232,-131.589,385.0,Cfb,100000.0,309.0,1753.98,5.0,False
51,Kodiak,AK,Kodiak Island,57.7934,-152.406,8851.0,Dfc,100000.0,309.0,12023.67,5.0,False
52,Kodiak Station,AK,Kodiak Island,57.7451,-152.5443,1536.0,Dfc,100000.0,309.0,12023.67,5.0,False
53,Womens Bay,AK,Kodiak Island,57.696,-152.6276,902.0,Dfc,100000.0,309.0,12023.67,5.0,False
54,Old Harbor,AK,Kodiak Island,57.2169,-153.3252,215.0,Cfc,100000.0,309.0,12023.67,5.0,False
55,Port Lions,AK,Kodiak Island,57.8754,-152.8745,184.0,Cfc,100000.0,309.0,12023.67,5.0,False
56,Hooper Bay,AK,Kusilvak,61.5262,-166.1146,1227.0,Dfc,100000.0,309.0,0.0,5.0,False
57,Chevak,AK,Kusilvak,61.5295,-165.5943,1077.0,Dfc,100000.0,309.0,0.0,5.0,False
58,Mountain Village,AK,Kusilvak,62.0911,-163.7209,877.0,Dfc,100000.0,309.0,0.0,5.0,False
59,Emmonak,AK,Kusilvak,62.7762,-164.5157,819.0,Dfc,100000.0,309.0,0.0,5.0,False
60,Alakanuk,AK,Kusilvak,62.6902,-164.6305,774.0,Dfc,100000.0,309.0,0.0,5.0,False
61,Newhalen,AK,Lake and Peninsula,59.727,-154.897,187.0,Dfc,100000.0,309.0,30906.96,5.0,False
62,Kokhanok,AK,Lake and Peninsula,59.4158,-154.7456,180.0,Dfc,100000.0,309.0,30906.96,5.0,False
63,Port Alsworth,AK,Lake and Peninsula,60.1688,-154.3233,134.0,Dsc,100000.0,309.0,30906.96,5.0,False
64,Nondalton,AK,Lake and Peninsula,59.9711,-154.8627,133.0,Dfc,100000.0,309.0,30906.96,5.0,False
65,Port Heiden,AK,Lake and Peninsula,56.9426,-158.6047,109.0,Dfc,100000.0,309.0,30906.96,5.0,False
66,Knik-Fairview,AK,Matanuska-Susitna,61.4964,-149.6535,17457.0,Dsb,100000.0,309.0,25259.79,5.0,False
67,Wasilla,AK,Matanuska-Susitna,61.577,-149.466,10838.0,Dsb,100000.0,309.0,25259.79,5.0,False
68,Tanaina,AK,Matanuska-Susitna,61.656,-149.4272,10464.0,Dsc,100000.0,309.0,25259.79,5.0,False
69,Meadow Lakes,AK,Matanuska-Susitna,61.638,-149.608,8149.0,Dsc,100000.0,309.0,25259.79,5.0,False
70,Palmer,AK,Matanuska-Susitna,61.5971,-149.1147,7456.0,Dfb,100000.0,309.0,25259.79,5.0,False
71,Nome,AK,Nome,64.5213,-165.4053,3870.0,Dfc,100000.0,309.0,28283.33,5.0,False
72,Savoonga,AK,Nome,63.6797,-170.4831,705.0,ET,100000.0,309.0,28283.33,5.0,False
73,Gambell,AK,Nome,63.7538,-171.6881,700.0,ET,100000.0,309.0,28283.33,5.0,False
74,Unalakleet,AK,Nome,63.8922,-160.786,695.0,Dfc,100000.0,309.0,28283.33,5.0,False
75,Shishmaref,AK,Nome,66.2372,-166.1027,613.0,Dfc,100000.0,309.0,28283.33,5.0,False
76,Utqiagvik,AK,North Slope,71.2728,-156.7575,4467.0,ET,100000.0,309.0,94762.64,5.0,False
77,Prudhoe Bay,AK,North Slope,70.3128,-148.6955,1718.0,BSk,100000.0,309.0,94762.64,5.0,False
78,Point Hope,AK,North Slope,68.3445,-166.6738,715.0,ET,100000.0,309.0,94762.64,5.0,False
79,Wainwright,AK,North Slope,70.638,-159.9713,587.0,ET,100000.0,309.0,94762.64,5.0,False
80,Nuiqsut,AK,North Slope,70.2135,-150.9897,425.0,Dfc,100000.0,309.0,94762.64,5.0,False
81,Kotzebue,AK,Northwest Arctic,66.8766,-162.5231,3246.0,Dsc,100000.0,309.0,40762.0,5.0,False
82,Selawik,AK,Northwest Arctic,66.5988,-159.9995,840.0,Dsc,100000.0,309.0,40762.0,5.0,False
83,Noorvik,AK,Northwest Arctic,66.8292,-161.0376,675.0,Dsc,100000.0,309.0,40762.0,5.0,False
84,Buckland,AK,Northwest Arctic,65.9784,-161.1341,422.0,Dfc,100000.0,309.0,40762.0,5.0,False
85,Noatak,AK,Northwest Arctic,67.5987,-163.0309,415.0,Dsc,100000.0,309.0,40762.0,5.0,False
86,Petersburg,AK,Petersburg Borough,56.7566,-132.8727,3136.0,Dfb,100000.0,309.0,0.0,5.0,False
87,Kupreanof,AK,Petersburg Borough,56.8089,-132.9889,26.0,Cfb,100000.0,309.0,0.0,5.0,False
88,Metlakatla,AK,Prince of Wales-Hyder,55.1182,-131.5689,1654.0,Cfb,100000.0,309.0,12706.3,5.0,False
89,Craig,AK,Prince of Wales-Hyder,55.4913,-133.1165,1262.0,Cfb,100000.0,309.0,12706.3,5.0,False
90,Klawock,AK,Prince of Wales-Hyder,55.5556,-133.0868,787.0,Cfb,100000.0,309.0,12706.3,5.0,False
91,Kake,AK,Prince of Wales-Hyder,56.9727,-133.9145,544.0,Cfb,100000.0,309.0,12706.3,5.0,False
92,Thorne Bay,AK,Prince of Wales-Hyder,55.6652,-132.5337,467.0,Cfb,100000.0,309.0,12706.3,5.0,False
93,Sitka,AK,Sitka,57.2401,-135.3153,8493.0,Cfc,100000.0,309.0,4811.53,5.0,False
94,Skagway,AK,Skagway,59.4566,-135.2927,1059.0,Dsc,100000.0,309.0,0.0,5.0,False
95,Deltana,AK,Southeast Fairbanks,63.8724,-145.2158,2430.0,Dfc,100000.0,309.0,25061.19,5.0,False
96,Tok,AK,Southeast Fairbanks,63.329,-143.0379,1289.0,BSk,100000.0,309.0,25061.19,5.0,False
97,Delta Junction,AK,Southeast Fairbanks,64.0604,-145.7058,928.0,Dfc,100000.0,309.0,25061.19,5.0,False
98,Big Delta,AK,Southeast Fairbanks,64.1486,-145.7453,556.0,Dfc,100000.0,309.0,25061.19,5.0,False
99,Tetlin,AK,Southeast Fairbanks,63.1481,-142.4947,223.0,Dwc,100000.0,309.0,25061.19,5.0,False
100,Valdez,AK,Valdez-Cordova,61.0963,-146.2596,3855.0,Dfc,100000.0,309.0,40199.15,5.0,False
101,Cordova,AK,Valdez-Cordova,60.5348,-145.6092,2169.0,Dfc,100000.0,309.0,40199.15,5.0,False
102,Glennallen,AK,Valdez-Cordova,62.1278,-145.7693,411.0,Dfc,100000.0,309.0,40199.15,5.0,False
103,Tazlina,AK,Valdez-Cordova,62.0536,-145.4362,376.0,Dsc,100000.0,309.0,40199.15,5.0,False
104,Mentasta Lake,AK,Valdez-Cordova,62.9867,-143.5191,266.0,Dfc,100000.0,309.0,40199.15,5.0,False
105,Wrangell,AK,Wrangell,56.3317,-132.0223,2502.0,Dfc,100000.0,309.0,0.0,5.0,False
106,Yakutat,AK,Yakutat,59.567,-139.5966,649.0,Dfc,100000.0,309.0,9459.28,5.0,False
107,Fort Yukon,AK,Yukon-Koyukuk,66.5806,-145.2415,534.0,BSk,100000.0,309.0,147842.51,5.0,False
108,Galena,AK,Yukon-Koyukuk,64.7381,-156.8635,450.0,Dfc,100000.0,309.0,147842.51,5.0,False
109,Nenana,AK,Yukon-Koyukuk,64.5384,-149.0859,357.0,Dwc,100000.0,309.0,147842.51,5.0,False
110,McGrath,AK,Yukon-Koyukuk,62.9424,-155.563,316.0,Dfc,100000.0,309.0,147842.51,5.0,False
111,Huslia,AK,Yukon-Koyukuk,65.7002,-156.3386,258.0,Dfc,100000.0,309.0,147842.51,5.0,False
112,Prattville,AL,Autauga,32.4605,-86.4588,35957.0,Cfa,52420.0,162.0,604.45,2.0,True
113,Pine Level,AL,Autauga,32.5797,-86.4529,4484.0,Cfa,52420.0,162.0,604.45,2.0,True
114,Daphne,AL,Baldwin,30.6286,-87.8866,71484.0,Cfa,52420.0,162.0,2026.93,4.0,True
115,Foley,AL,Baldwin,30.3983,-87.6649,36921.0,Cfa,52420.0,162.0,2026.93,4.0,True
116,Fairhope,AL,Baldwin,30.5217,-87.8815,22677.0,Cfa,52420.0,162.0,2026.93,4.0,True
117,Gulf Shores,AL,Baldwin,30.2759,-87.7013,12757.0,Cfa,52420.0,162.0,2026.93,4.0,True
118,Eufaula,AL,Barbour,31.9102,-85.1505,11709.0,Cfa,52420.0,162.0,904.52,2.0,True
119,Clayton,AL,Barbour,31.8822,-85.4604,2847.0,Cfa,52420.0,162.0,904.52,2.0,True
120,Brent,AL,Bibb,32.9421,-87.1753,5302.0,Cfa,52420.0,162.0,626.16,2.0,True
121,Woodstock,AL,Bibb,33.2193,-87.1489,4202.0,Cfa,52420.0,162.0,626.16,2.0,True
122,Oneonta,AL,Blount,33.9392,-86.4929,6577.0,Cfa,52420.0,162.0,650.6,2.0,True
123,Smoke Rise,AL,Blount,33.8789,-86.824,2101.0,Cfa,52420.0,162.0,650.6,2.0,True
124,Union Springs,AL,Bullock,32.1395,-85.7141,4547.0,Cfa,52420.0,162.0,626.06,2.0,True
125,Midway,AL,Bullock,32.0764,-85.5244,466.0,Cfa,52420.0,162.0,626.06,2.0,True
126,Greenville,AL,Butler,31.8437,-86.6379,7395.0,Cfa,52420.0,162.0,777.92,2.0,True
127,Georgiana,AL,Butler,31.6391,-86.7468,1608.0,Cfa,52420.0,162.0,777.92,2.0,True
128,Anniston,AL,Calhoun,33.6712,-85.8136,73501.0,Cfa,52420.0,162.0,612.32,2.0,True
129,Oxford,AL,Calhoun,33.5967,-85.8687,21225.0,Cfa,52420.0,162.0,612.32,2.0,True
130,Valley,AL,Chambers,32.8088,-85.1809,19926.0,Cfa,52420.0,162.0,603.11,2.0,True
131,Lanett,AL,Chambers,32.8571,-85.2081,6151.0,Cfa,52420.0,162.0,603.11,2.0,True
132,Centre,AL,Cherokee,34.1551,-85.6699,3762.0,Cfa,52420.0,162.0,599.95,2.0,True
133,Cedar Bluff,AL,Cherokee,34.2217,-85.5877,1823.0,Cfa,52420.0,162.0,599.95,2.0,True
134,Clanton,AL,Chilton,32.844,-86.623,8794.0,Cfa,52420.0,162.0,700.76,2.0,True
135,Jemison,AL,Chilton,32.9696,-86.7339,2672.0,Cfa,52420.0,162.0,700.76,2.0,True
136,Butler,AL,Choctaw,32.0965,-88.2108,1721.0,Cfa,52420.0,162.0,920.85,2.0,True
137,Lisman,AL,Choctaw,32.1792,-88.3002,493.0,Cfa,52420.0,162.0,920.85,2.0,True
138,Jackson,AL,Clarke,31.5318,-87.8915,4642.0,Cfa,52420.0,162.0,1252.51,3.0,True
139,Thomasville,AL,Clarke,31.9111,-87.7419,3836.0,Cfa,52420.0,162.0,1252.51,3.0,True
140,Grove Hill,AL,Clarke,31.7006,-87.7748,1738.0,Cfa,52420.0,162.0,1252.51,3.0,True
141,Lineville,AL,Clay,33.313,-85.7508,2249.0,Cfa,52420.0,162.0,606.0,2.0,True
142,Ashland,AL,Clay,33.2704,-85.8337,1895.0,Cfa,52420.0,162.0,606.0,2.0,True
143,Heflin,AL,Cleburne,33.6471,-85.5698,3409.0,Cfa,52420.0,162.0,561.02,2.0,True
144,Hollis Crossroads,AL,Cleburne,33.5231,-85.6437,679.0,Cfa,52420.0,162.0,561.02,2.0,True
145,Enterprise,AL,Coffee,31.3276,-85.8459,38914.0,Cfa,52420.0,162.0,680.48,2.0,True
146,Elba,AL,Coffee,31.4172,-86.0759,3811.0,Cfa,52420.0,162.0,680.48,2.0,True
147,Muscle Shoals,AL,Colbert,34.7436,-87.6344,14575.0,Cfa,52420.0,162.0,623.61,2.0,True
148,Sheffield,AL,Colbert,34.757,-87.6977,8901.0,Cfa,52420.0,162.0,623.61,2.0,True
149,Evergreen,AL,Conecuh,31.4342,-86.9723,3526.0,Cfa,52420.0,162.0,852.51,2.0,True
150,Castleberry,AL,Conecuh,31.3001,-87.027,540.0,Cfa,52420.0,162.0,852.51,2.0,True
151,Stewartville,AL,Coosa,33.0725,-86.2658,1634.0,Cfa,52420.0,162.0,666.36,2.0,True
152,Goodwater,AL,Coosa,33.0608,-86.0516,1315.0,Cfa,52420.0,162.0,666.36,2.0,True
153,Andalusia,AL,Covington,31.3101,-86.4781,8680.0,Cfa,52420.0,162.0,1043.86,2.0,True
154,Opp,AL,Covington,31.2848,-86.257,6390.0,Cfa,52420.0,162.0,1043.86,2.0,True
155,Luverne,AL,Crenshaw,31.7186,-86.2687,2744.0,Cfa,52420.0,162.0,610.88,2.0,True
156,Brantley,AL,Crenshaw,31.5822,-86.2569,768.0,Cfa,52420.0,162.0,610.88,2.0,True
157,Cullman,AL,Cullman,34.1777,-86.8407,19920.0,Cfa,52420.0,162.0,754.82,2.0,True
158,Hanceville,AL,Cullman,34.0634,-86.7651,3461.0,Cfa,52420.0,162.0,754.82,2.0,True
159,Ozark,AL,Dale,31.4508,-85.6473,14284.0,Cfa,52420.0,162.0,562.67,2.0,True
160,Fort Rucker,AL,Dale,31.3428,-85.7154,5311.0,Cfa,52420.0,162.0,562.67,2.0,True
161,Selma,AL,Dallas,32.4166,-87.0336,19775.0,Cfa,52420.0,162.0,993.37,2.0,True
162,Valley Grande,AL,Dallas,32.4862,-87.0305,3570.0,Cfa,52420.0,162.0,993.37,2.0,True
163,Fort Payne,AL,DeKalb,34.4557,-85.6965,14074.0,Cfa,52420.0,162.0,778.65,2.0,True
164,Rainsville,AL,DeKalb,34.4939,-85.8435,5123.0,Cfa,52420.0,162.0,778.65,2.0,True
165,Millbrook,AL,Elmore,32.5028,-86.3737,15896.0,Cfa,52420.0,162.0,657.21,2.0,True
166,Wetumpka,AL,Elmore,32.5407,-86.2052,8538.0,Cfa,52420.0,162.0,657.21,2.0,True
167,Atmore,AL,Escambia,31.0927,-87.4763,9107.0,Cfa,52420.0,162.0,952.95,2.0,True
168,Brewton,AL,Escambia,31.1111,-87.0737,6615.0,Cfa,52420.0,162.0,952.95,2.0,True
169,Gadsden,AL,Etowah,34.009,-86.0156,60944.0,Cfa,52420.0,162.0,548.75,2.0,True
170,Rainbow City,AL,Etowah,33.9337,-86.0922,9611.0,Cfa,52420.0,162.0,548.75,2.0,True
171,Fayette,AL,Fayette,33.6943,-87.8307,4275.0,Cfa,52420.0,162.0,629.34,2.0,True
172,Berry,AL,Fayette,33.6623,-87.6079,1095.0,Cfa,52420.0,162.0,629.34,2.0,True
173,Russellville,AL,Franklin,34.5056,-87.7282,9772.0,Cfa,52420.0,162.0,646.51,2.0,True
174,Red Bay,AL,Franklin,34.4358,-88.1362,3085.0,Cfa,52420.0,162.0,646.51,2.0,True
175,Geneva,AL,Geneva,31.0437,-85.8763,4289.0,Cfa,52420.0,162.0,578.9,2.0,True
176,Hartford,AL,Geneva,31.1055,-85.6916,2578.0,Cfa,52420.0,162.0,578.9,2.0,True
177,Eutaw,AL,Greene,32.8436,-87.8987,2603.0,Cfa,52420.0,162.0,659.93,2.0,True
178,Forkland,AL,Greene,32.6489,-87.8671,588.0,Cfa,52420.0,162.0,659.93,2.0,True
179,Moundville,AL,Hale,32.9968,-87.6272,2612.0,Cfa,52420.0,162.0,656.47,2.0,True
180,Greensboro,AL,Hale,32.7014,-87.595,2268.0,Cfa,52420.0,162.0,656.47,2.0,True
181,Headland,AL,Henry,31.3501,-85.3523,4712.0,Cfa,52420.0,162.0,568.33,2.0,True
182,Abbeville,AL,Henry,31.5664,-85.2528,2560.0,Cfa,52420.0,162.0,568.33,2.0,True
183,Dothan,AL,Houston,31.2335,-85.4069,72396.0,Cfa,52420.0,162.0,581.65,2.0,True
184,Kinsey,AL,Houston,31.2926,-85.3353,3341.0,Cfa,52420.0,162.0,581.65,2.0,True
185,Scottsboro,AL,Jackson,34.6438,-86.0491,14436.0,Cfa,52420.0,162.0,1126.77,2.0,True
186,Bridgeport,AL,Jackson,34.9495,-85.7243,2297.0,Cfa,52420.0,162.0,1126.77,2.0,True
187,Birmingham,AL,Jefferson,33.5277,-86.7987,739573.0,Cfa,52420.0,162.0,1123.8,2.0,True
188,Hoover,AL,Jefferson,33.3754,-86.8064,85768.0,Cfa,52420.0,162.0,1123.8,2.0,True
189,Vernon,AL,Lamar,33.7588,-88.1143,1850.0,Cfa,52420.0,162.0,605.47,2.0,True
190,Sulligent,AL,Lamar,33.8912,-88.1266,1834.0,Cfa,52420.0,162.0,605.47,2.0,True
191,Florence,AL,Lauderdale,34.8303,-87.6654,79964.0,Cfa,52420.0,162.0,718.78,2.0,True
192,Underwood-Petersville,AL,Lauderdale,34.877,-87.6975,3170.0,Cfa,52420.0,162.0,718.78,2.0,True
193,Moulton,AL,Lawrence,34.4843,-87.2831,3241.0,Cfa,52420.0,162.0,718.07,2.0,True
194,Town Creek,AL,Lawrence,34.6718,-87.4063,1039.0,Cfa,52420.0,162.0,718.07,2.0,True
195,Auburn,AL,Lee,32.6087,-85.4899,92777.0,Cfa,52420.0,162.0,615.55,2.0,True
196,Opelika,AL,Lee,32.6612,-85.3769,30908.0,Cfa,52420.0,162.0,615.55,2.0,True
197,Athens,AL,Limestone,34.7847,-86.951,31187.0,Cfa,52420.0,162.0,607.08,2.0,True
198,Ardmore,AL,Limestone,34.9847,-86.8373,1463.0,Cfa,52420.0,162.0,607.08,2.0,True
199,Fort Deposit,AL,Lowndes,31.9863,-86.5664,1155.0,Cfa,52420.0,162.0,725.03,2.0,True
200,Mosses,AL,Lowndes,32.1801,-86.6888,874.0,Cfa,52420.0,162.0,725.03,2.0,True
201,Tuskegee,AL,Macon,32.4395,-85.7139,8142.0,Cfa,52420.0,162.0,613.24,2.0,True
202,Notasulga,AL,Macon,32.5569,-85.6695,823.0,Cfa,52420.0,162.0,613.24,2.0,True
203,Huntsville,AL,Madison,34.6988,-86.6412,319249.0,Cfa,52420.0,162.0,812.85,2.0,True
204,Madison,AL,Madison,34.7114,-86.7626,51593.0,Cfa,52420.0,162.0,812.85,2.0,True
205,Demopolis,AL,Marengo,32.498,-87.8298,6612.0,Cfa,52420.0,162.0,982.85,2.0,True
206,Linden,AL,Marengo,32.3001,-87.7926,1880.0,Cfa,52420.0,162.0,982.85,2.0,True
207,Hamilton,AL,Marion,34.1346,-87.9755,6606.0,Cfa,52420.0,162.0,743.57,2.0,True
208,Winfield,AL,Marion,33.9334,-87.7962,4519.0,Cfa,52420.0,162.0,743.57,2.0,True
209,Albertville,AL,Marshall,34.2634,-86.2107,37775.0,Cfa,52420.0,162.0,623.16,2.0,True
210,Boaz,AL,Marshall,34.1985,-86.1529,9704.0,Cfa,52420.0,162.0,623.16,2.0,True
211,Mobile,AL,Mobile,30.6783,-88.1162,315502.0,Cfa,52420.0,162.0,1644.02,3.0,True
212,Prichard,AL,Mobile,30.7735,-88.1301,21428.0,Cfa,52420.0,162.0,1644.02,3.0,True
213,Tillmans Corner,AL,Mobile,30.5818,-88.2128,17560.0,Cfa,52420.0,162.0,1644.02,3.0,True
214,Monroeville,AL,Monroe,31.5162,-87.3279,5718.0,Cfa,52420.0,162.0,1034.53,2.0,True
215,Frisco City,AL,Monroe,31.4353,-87.4037,1153.0,Cfa,52420.0,162.0,1034.53,2.0,True
216,Montgomery,AL,Montgomery,32.3473,-86.2666,254634.0,Cfa,52420.0,162.0,799.76,2.0,True
217,Pike Road,AL,Montgomery,32.2934,-86.0902,10159.0,Cfa,52420.0,162.0,799.76,2.0,True
218,Decatur,AL,Morgan,34.573,-86.9906,68867.0,Cfa,52420.0,162.0,599.06,2.0,True
219,Hartselle,AL,Morgan,34.4391,-86.94,14466.0,Cfa,52420.0,162.0,599.06,2.0,True
220,Marion,AL,Perry,32.6318,-87.3172,3123.0,Cfa,52420.0,162.0,724.08,2.0,True
221,Uniontown,AL,Perry,32.449,-87.4958,2227.0,Cfa,52420.0,162.0,724.08,2.0,True
222,Aliceville,AL,Pickens,33.1237,-88.1594,2254.0,Cfa,52420.0,162.0,890.05,2.0,True
223,Gordo,AL,Pickens,33.322,-87.904,1614.0,Cfa,52420.0,162.0,890.05,2.0,True
224,Troy,AL,Pike,31.8021,-85.9665,18957.0,Cfa,52420.0,162.0,672.1,2.0,True
225,Brundidge,AL,Pike,31.7182,-85.8177,1902.0,Cfa,52420.0,162.0,672.1,2.0,True
226,Roanoke,AL,Randolph,33.1454,-85.3694,5913.0,Cfa,52420.0,162.0,584.11,2.0,True
227,Wedowee,AL,Randolph,33.3077,-85.4864,794.0,Cfa,52420.0,162.0,584.11,2.0,True
228,Phenix City,AL,Russell,32.4588,-85.0251,36487.0,Cfa,52420.0,162.0,647.38,2.0,True
229,Ladonia,AL,Russell,32.4609,-85.0877,3391.0,Cfa,52420.0,162.0,647.38,2.0,True
230,Alabaster,AL,Shelby,33.2198,-86.8225,33487.0,Cfa,52420.0,162.0,809.53,2.0,True
231,Pelham,AL,Shelby,33.3114,-86.7573,23911.0,Cfa,52420.0,162.0,809.53,2.0,True
232,Pell City,AL,St. Clair,33.5609,-86.2669,14045.0,Cfa,52420.0,162.0,653.61,2.0,True
233,Moody,AL,St. Clair,33.5986,-86.4963,13065.0,Cfa,52420.0,162.0,653.61,2.0,True
234,Livingston,AL,Sumter,32.5982,-88.1891,3260.0,Cfa,52420.0,162.0,913.3,2.0,True
235,York,AL,Sumter,32.4998,-88.2938,2239.0,Cfa,52420.0,162.0,913.3,2.0,True
236,Sylacauga,AL,Talladega,33.1778,-86.2606,16982.0,Cfa,52420.0,162.0,760.25,2.0,True
237,Talladega,AL,Talladega,33.4329,-86.0976,15457.0,Cfa,52420.0,162.0,760.25,2.0,True
238,Alexander City,AL,Tallapoosa,32.9242,-85.9361,14317.0,Cfa,52420.0,162.0,766.23,2.0,True
239,Dadeville,AL,Tallapoosa,32.8326,-85.7675,3053.0,Cfa,52420.0,162.0,766.23,2.0,True
240,Tuscaloosa,AL,Tuscaloosa,33.2348,-87.5267,155499.0,Cfa,52420.0,162.0,1351.23,3.0,True
241,Northport,AL,Tuscaloosa,33.2589,-87.5984,26115.0,Cfa,52420.0,162.0,1351.23,3.0,True
