forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h
2025-10-20,2025-10-20 05:00:00+00:00,26432,25849,25526,25438,25774,26740,28428,29754,30158,30566,31163,31711,32224,32903,33430,33846,34074,33819,33290,33028,32454,31403,30001,28424,27251,26595,26206,26091,26348,27243,28983,30256,30495,30722,31048,31307,31624,32022,32270,32417,32551,32330,32010,31897,31459,30639,29443,28115,27313,26795,26551,26570,26909,27924,29795,30997,31058,31054,31145,31302,31554,31967,32275,32568,32795,32620,32268,32141,31674,30805,29548,28239,27432,26848,26512,26474,26765,27685,29460,30640,30815,30998,31293,31535,31803,32223,32557,32820,33026,32868,32534,32386,31899,30975,29712,28357,27440,26791,26408,26325,26556,27436,29101,30311,30601,30935,31311,31556,31763,32042,32196,32305,32366,32051,31530,31291,30797,30092,29141,28000,26887,26278,25865,25667,25701,25999,26576,27378,27967,28684,29129,29364,29533,29640,29780,29986,30206,30273,30093,30023,29627,28982,28145,27156,25592,25044,24633,24465,24428,24661,25149,25760,26355,27056,27606,28147,28671,29235,29702,30199,30599,30765,30527,30469,29992,29180
2025-10-21,2025-10-21 05:00:00+00:00,27296,26648,26295,26172,26455,27344,29059,30274,30487,30647,30901,31148,31452,31826,32061,32286,32476,32331,31979,31866,31424,30566,29354,28085,27048,26550,26328,26337,26705,27676,29485,30670,30757,30742,30863,31041,31322,31764,32156,32490,32733,32598,32270,32024,31502,30561,29314,27994,27102,26523,26212,26159,26459,27421,29208,30402,30562,30679,30908,31087,31376,31789,32154,32521,32785,32709,32416,32304,31802,30863,29582,28210,27217,26576,26207,26098,26331,27175,28823,30003,30314,30598,30989,31198,31426,31717,31875,32019,32148,31943,31483,31261,30759,30024,29053,27874,26847,26194,25751,25553,25529,25790,26373,27082,27734,28507,29080,29362,29541,29659,29823,30076,30305,30403,30240,30212,29752,29096,28209,27189,26248,25652,25232,25016,24955,25174,25639,26235,26887,27641,28260,28768,29273,29798,30208,30791,31225,31492,31318,31393,30910,30000,28782,27474,25838,25227,24868,24753,25012,25938,27534,28920,29381,29950,30602,31101,31582,32119,32467,32670,32784,32600,32221,32023,31405
2025-10-22,2025-10-22 05:00:00+00:00,27274,26750,26522,26506,26870,27906,29775,30989,31130,31042,31076,31201,31407,31760,32060,32290,32566,32521,32321,32195,31690,30801,29510,28242,27141,26623,26311,26275,26607,27574,29330,30552,30750,30762,30907,31008,31224,31601,31921,32196,32486,32476,32325,32247,31756,30866,29577,28272,27324,26723,26355,26252,26509,27360,29014,30231,30520,30694,30927,31039,31098,31288,31364,31431,31536,31429,31126,30947,30452,29799,28849,27762,26810,26209,25769,25552,25544,25824,26447,27149,27797,28472,28934,29169,29262,29242,29255,29320,29544,29748,29761,29787,29434,28828,27980,27033,26223,25683,25300,25077,25041,25244,25751,26366,27012,27632,28107,28490,28849,29147,29416,29768,30172,30485,30502,30639,30236,29473,28312,27142,26278,25733,25419,25374,25708,26617,28303,29628,30036,30441,30898,31163,31395,31701,31855,32000,32176,32168,32073,32003,31486,30609,29321,27995,26297,25694,25363,25287,25561,26459,28164,29403,29686,29841,30080,30203,30308,30501,30552,30587,30682,30692,30691,30771,30357
2025-10-23,2025-10-23 05:00:00+00:00,27274,26773,26489,26477,26830,27851,29717,30987,31148,31100,31140,31204,31362,31719,32034,32289,32586,32546,32392,32348,31864,30947,29701,28407,27463,26857,26492,26438,26701,27575,29198,30392,30658,30807,30989,31071,31172,31341,31389,31427,31512,31354,31099,30976,30492,29798,28878,27790,26810,26216,25823,25640,25635,25918,26548,27267,27885,28571,28977,29148,29198,29175,29187,29234,29444,29636,29648,29759,29398,28801,27981,27036,26323,25805,25426,25255,25220,25419,25920,26544,27188,27810,28223,28540,28830,29133,29359,29676,29974,30278,30354,30563,30120,29356,28241,27073,26324,25812,25479,25494,25808,26782,28483,29871,30232,30591,30909,31090,31262,31490,31592,31636,31796,31785,31797,31863,31370,30492,29263,27968,27070,26527,26224,26166,26459,27378,29117,30362,30631,30783,30919,30980,31101,31262,31317,31329,31466,31463,31529,31660,31260,30454,29280,28067,26468,25965,25702,25689,26028,27013,28832,30139,30375,30399,30424,30336,30259,30285,30239,30163,30287,30322,30504,30746,30510
2025-10-24,2025-10-24 05:00:00+00:00,27429,26822,26468,26338,26596,27452,29089,30317,30608,30796,31007,31117,31175,31372,31400,31482,31527,31380,31125,31022,30590,29965,29031,27962,26832,26234,25825,25633,25623,25907,26484,27139,27772,28496,28966,29167,29217,29214,29247,29351,29538,29708,29765,29810,29434,28849,28030,27109,26325,25796,25368,25175,25139,25336,25806,26350,26998,27635,28098,28412,28664,28901,29101,29450,29800,30086,30152,30388,29947,29262,28182,26998,26340,25834,25503,25531,25853,26830,28548,29909,30258,30543,30839,30957,31010,31247,31355,31475,31642,31653,31717,31816,31328,30494,29270,28015,27101,26552,26188,26138,26415,27327,29082,30318,30592,30738,30932,30952,30909,31075,31090,31090,31188,31190,31314,31501,31109,30383,29258,28098,27295,26800,26513,26540,26868,27848,29749,31090,31317,31348,31333,31164,30950,30938,30809,30696,30790,30860,31125,31499,31281,30687,29651,28536,27135,26705,26464,26529,26946,28004,29961,31295,31385,31201,30997,30643,30296,30201,30051,29934,29994,30064,30343,30735,30523
2025-10-25,2025-10-25 05:00:00+00:00,27036,26426,26003,25794,25784,26082,26684,27351,28115,28771,29211,29382,29399,29343,29370,29521,29668,29824,29884,29942,29548,28970,28149,27184,26417,25886,25510,25284,25237,25419,25902,26493,27172,27860,28317,28663,28905,29068,29280,29546,29816,30102,30157,30385,29954,29241,28155,27017,26319,25800,25493,25493,25816,26802,28497,29886,30276,30532,30841,30976,31002,31236,31288,31404,31526,31522,31553,31695,31198,30343,29152,27910,27103,26538,26240,26130,26422,27342,29078,30383,30738,30875,31039,31031,30932,30971,30936,30872,30889,30857,30999,31350,31078,30414,29355,28196,27549,27061,26794,26831,27180,28206,30058,31447,31729,31689,31653,31432,31146,31081,30891,30787,30787,30812,31089,31498,31296,30689,29699,28585,28010,27549,27318,27370,27772,28856,30749,32054,32166,31968,31789,31466,31104,31018,30801,30680,30694,30703,30969,31378,31161,30557,29556,28522,27128,26712,26538,26560,26973,28035,29947,31319,31447,31181,30955,30621,30266,30185,30015,29921,29878,29751,29760,29936,29751
2025-10-26,2025-10-26 05:00:00+00:00,26535,25979,25554,25347,25339,25557,26031,26725,27490,28127,28545,28880,29109,29271,29411,29615,29941,30213,30256,30424,30121,29422,28327,27206,26345,25848,25562,25565,25916,26902,28559,29943,30419,30684,30941,31026,31080,31199,31179,31193,31313,31333,31427,31586,31154,30342,29124,27897,27063,26527,26205,26109,26413,27310,29007,30272,30720,30904,31105,31144,31071,31057,30969,30903,30952,30964,31152,31416,31181,30508,29454,28338,27650,27211,26981,27044,27452,28498,30357,31805,32161,32136,32074,31884,31645,31510,31243,31073,31065,31143,31471,31867,31678,31084,30050,28944,28246,27808,27607,27686,28111,29222,31124,32499,32693,32457,32233,31873,31484,31308,31017,30861,30899,30924,31241,31650,31463,30885,29926,28892,28069,27701,27551,27607,28044,29119,31000,32354,32530,32227,31917,31558,31162,30928,30666,30523,30513,30462,30563,30768,30569,30082,29334,28445,27105,26644,26413,26291,26451,26867,27623,28370,28858,29037,29004,28835,28628,28464,28455,28543,28700,28843,28957,29085,28785
2025-10-27,2025-10-27 05:00:00+00:00,26680,26156,25842,25855,26187,27161,28884,30254,30715,30958,31199,31303,31341,31504,31474,31526,31653,31679,31752,31832,31374,30553,29312,28079,27205,26651,26318,26270,26565,27487,29172,30444,30845,31022,31213,31294,31252,31309,31202,31177,31189,31197,31387,31615,31324,30598,29518,28399,27719,27282,27044,27110,27499,28535,30415,31826,32203,32206,32195,32015,31785,31673,31392,31204,31195,31216,31524,31920,31742,31163,30127,29030,28373,27959,27761,27871,28331,29435,31346,32760,32919,32620,32319,31884,31503,31301,31012,30853,30869,30936,31282,31713,31602,31048,30087,29084,28428,28057,27941,28026,28485,29592,31509,32864,32984,32622,32198,31760,31332,31081,30786,30608,30619,30592,30754,30983,30801,30344,29595,28720,28173,27771,27541,27520,27713,28180,29016,29843,30392,30491,30305,29937,29576,29284,29138,29108,29292,29522,29852,30064,29871,29410,28691,27899,26484,26029,26252,25802,25763,25844,26186,26764,27459,27979,28121,28131,28140,28195,28366,28531,28814,29140,29395,29573,29638,29150
2025-10-28,2025-10-28 05:00:00+00:00,27239,26701,26395,26336,26639,27575,29253,30503,30827,31051,31261,31319,31275,31318,31198,31127,31197,31266,31437,31632,31343,30666,29581,28472,27757,27303,27060,27124,27504,28528,30359,31743,32081,32066,32074,31895,31702,31576,31289,31120,31102,31183,31491,31823,31625,31052,30042,28987,28324,27924,27786,27855,28325,29459,31412,32851,32949,32645,32297,31829,31399,31190,30907,30703,30728,30810,31171,31577,31464,30940,29982,28991,28291,27909,27793,27881,28333,29441,31355,32696,32784,32420,32034,31619,31239,31052,30784,30653,30679,30628,30799,30953,30736,30258,29476,28606,28040,27585,27345,27357,27527,28020,28858,29774,30371,30572,30503,30219,29879,29557,29341,29285,29420,29689,30071,30335,30165,29818,29110,28309,27681,27111,27471,27011,26992,27123,27476,28124,28801,29242,29310,29187,29096,29045,29104,29178,29409,29726,30062,30297,30308,29747,29118,28316,27336,25892,25474,25314,25422,25856,26969,28697,30028,30319,30410,30491,30463,30443,30499,30473,30493,30584,30672,30764,30711
2025-10-29,2025-10-29 05:00:00+00:00,27964,27519,27285,27369,27730,28803,30678,32137,32373,32428,32416,32208,31953,31758,31423,31198,31174,31287,31662,32010,31876,31309,30280,29226,28522,28155,28026,28078,28566,29677,31695,33129,33219,32878,32535,32057,31607,31319,30979,30747,30752,30843,31214,31596,31482,30966,29976,28983,28301,27937,27822,27886,28357,29475,31459,32858,32943,32586,32215,31788,31380,31124,30860,30666,30649,30612,30785,30923,30709,30251,29468,28608,28086,27651,27375,27347,27561,28052,28953,29920,30554,30883,30864,30647,30309,29950,29688,29556,29641,29917,30335,30590,30432,30095,29420,28669,28063,27630,27747,27692,27537,27682,28093,28812,29544,30028,30097,29895,29668,29487,29349,29191,29258,29543,29962,30337,30478,30045,29451,28661,27696,26950,26602,26476,26610,27081,28244,30158,31485,31665,31557,31450,31287,31125,31033,30940,30913,30997,31162,31353,31320,30793,30110,29216,28114,26741,26351,26171,26215,26637,27708,29568,30792,30936,30812,30729,30596,30494,30506,30471,30496,30563,30655,30817,30742,30174
2025-10-30,2025-10-30 05:00:00+00:00,28778,28447,28313,28299,28831,30004,31987,33521,33560,33279,32942,32438,31964,31658,31273,31004,31049,31201,31635,32028,31901,31355,30405,29430,28521,28175,28083,28168,28638,29708,31677,33161,33263,32893,32485,32062,31587,31300,30952,30811,30852,30839,31025,31168,30951,30466,29719,28881,28035,27558,27327,27299,27474,27944,28816,29801,30540,31009,31132,31007,30684,30313,30035,29866,29913,30170,30585,30895,30729,30394,29744,28971,28378,27947,28227,27898,27916,28052,28488,29231,30098,30583,30647,30377,30100,29820,29620,29420,29485,29795,30234,30690,30895,30478,29890,29093,28146,27490,27158,27060,27228,27771,28985,30957,32328,32460,32247,32016,31708,31402,31248,31062,31044,31187,31396,31650,31610,31069,30371,29526,28448,27678,27287,27105,27151,27619,28672,30568,31785,31918,31729,31575,31405,31287,31358,31367,31396,31503,31619,31781,31621,30974,30181,29236,28108,26580,26146,25932,25964,26380,27394,29268,30515,30736,30708,30706,30659,30645,30741,30799,30869,30935,31015,31125,30964
2025-10-31,2025-10-31 05:00:00+00:00,28512,28191,28100,28188,28690,29852,31743,33134,33421,32975,32436,31880,31429,31151,30817,30662,30726,30773,30965,31201,30965,30438,29624,28713,28064,27629,27363,27328,27499,27967,28870,29819,30532,30955,31021,30851,30541,30210,29955,29798,29885,30157,30588,30891,30759,30361,29700,28899,28538,28571,28447,28056,28068,28279,28724,29496,30241,30704,30726,30397,30070,29750,29538,29358,29455,29753,30231,30638,30810,30363,29732,28936,27964,27460,27154,27023,27130,27695,28889,30777,32073,32198,32013,31795,31532,31308,31278,31202,31220,31306,31497,31707,31597,30963,30202,29327,28241,27611,27256,27051,27044,27500,28594,30411,31552,31678,31569,31477,31380,31401,31592,31726,31806,31878,31927,31982,31737,30995,30119,29139,27935,27227,26809,26552,26535,26973,28022,29802,30953,31155,31203,31258,31304,31378,31573,31700,31775,31839,31872,31900,31683,30980,30099,29144,27997,26568,26168,25903,25878,26295,27332,29128,30290,30512,30533,30579,30592,30654,30852,30994,31060,31082,31103,31176,30931
2025-11-01,2025-11-01 05:00:00+00:00,27635,27161,26930,26917,27127,27566,28396,29403,30121,30507,30559,30419,30133,29834,29589,29640,29733,30012,30415,30713,30601,30235,29585,28756,28050,28168,27686,27848,27676,27904,28337,29067,29808,30222,30261,29972,29696,29459,29269,29125,29258,29586,29997,30339,30511,30063,29483,28745,27818,27203,26857,26798,26945,27511,28692,30609,31809,31921,31757,31527,31259,31089,30980,30873,30934,31038,31241,31429,31311,30675,29979,29182,28078,27280,26882,26710,26747,27170,28255,29980,31046,31195,31134,31098,31065,31128,31345,31551,31722,31773,31793,31786,31494,30734,29956,29081,27814,26973,26503,26313,26301,26695,27731,29435,30549,30799,30908,31027,31133,31265,31467,31669,31767,31759,31766,31745,31500,30787,30010,29160,27987,27121,26702,26493,26511,26902,27884,29619,30727,30978,31054,31132,31156,31231,31400,31576,31668,31685,31707,31731,31515,30777,29977,29139,27885,26252,25779,25562,25533,25854,26778,28326,29466,29843,30091,30237,30320,30388,30463,30494,30560,30460,30355,30184,29847
2025-11-02,2025-11-02 05:00:00+00:00,28173,28114,28007,27763,27809,28028,28475,29144,29858,30375,30435,30165,29903,29676,29464,29284,29397,29706,30064,30412,30579,30260,29725,28984,28067,27329,27018,26924,27080,27617,28861,30814,32115,32238,32058,31779,31482,31226,31096,30978,30991,31102,31227,31389,31347,30783,30091,29231,28155,27349,26954,26759,26797,27243,28298,30105,31243,31384,31337,31291,31251,31298,31474,31641,31780,31866,31856,31831,31596,30885,30095,29167,27963,27045,26606,26387,26392,26808,27829,29608,30788,31028,31099,31146,31190,31265,31451,31593,31711,31780,31761,31745,31567,30902,30114,29198,28089,27154,26728,26483,26485,26864,27847,29576,30727,30979,31056,31157,31224,31384,31644,31871,32071,32150,32114,32091,31835,31105,30262,29299,28074,27135,26658,26369,26327,26665,27582,29227,30390,30735,30932,31099,31204,31324,31460,31558,31608,31554,31361,31104,30690,30069,29477,28781,27821,26223,25687,25381,25267,25330,25646,26367,27108,27814,28373,28771,29009,29151,29246,29394,29523,29618,29637,29570,29274,28768
2025-11-03,2025-11-03 06:00:00+00:00,27628,27311,27206,27430,28031,29289,31193,32318,32332,32074,31809,31616,31437,31389,31344,31331,31470,31665,31812,31676,31047,30330,29513,28441,27496,27080,26918,26947,27404,28473,30222,31276,31364,31272,31258,31338,31484,31740,31952,31983,32029,31999,31944,31631,30860,30078,29219,28072,27134,26677,26474,26472,26897,27918,29660,30796,31011,31109,31187,31315,31474,31678,31850,31874,31900,31896,31842,31571,30864,30124,29290,28218,27254,26804,26577,26552,26936,27903,29589,30708,30946,31041,31213,31454,31753,32149,32518,32588,32546,32406,32248,31841,31043,30243,29371,28220,27246,26730,26475,26411,26718,27637,29215,30371,30703,30963,31181,31368,31524,31668,31739,31647,31514,31294,31027,30607,29982,29476,28849,28011,27150,26653,26369,26270,26319,26651,27323,28031,28677,29159,29410,29627,29700,29843,29988,30069,30223,30294,30198,29891,29288,28831,28294,27533,26113,25705,25472,25447,25574,25918,26512,27205,27966,28497,28706,28839,28918,28906,28890,29046,29470,29981,30326,30423,29952
